body,rating
من گرفتمش ولی تاش کرده بودن گذاشته بودنش داخله جعبه و اون تا زدن باعث ترک خوردنش شده بود من مرجوعش کردم ,2
پیشنهاد میکنم خوشگل است,3
بدک نیست ولی رنگا میتونست زنده تر و با کیفیت تر باشه,3
معمولیه ولی قشنگه,3
کوچک بود,3
جالب نبود,2
جالب نبود جنس یه جوری بود کندم از رو لبتاپ ,3
سایزش خیلی کوچکهبدرد پشت تب لت میخورهبه نوعی جنبه فانتزی,3
بد نیست,0
تا عمر دارم دیگه از فروشگاه کارنیکا برچسب نمیخرم این دفعه هم حواسم نبود الان دیدم برش های برچسب ها رو خیلی بد زده بودند و اصلا دقیق نبودن و یه برچسب دیگه هم سفارش داده بودم که کلا یه چیز دیگه آورده بودن,1.25
کیفیت تصویر برچسب خیلی پایین,3
دوستارید بگیرید بد نیست خوبه ,3
قشنگ و جذابه,3
کیفیت چاپ پایین بودولی جنس استیکر ضد آب بود,2
بدرد بعضی از لپ تاپها نمیخوره و مجبور شدم جای چندتا از استیکر هاش رو عوض کنم,0
بدرد نمیخوره نازکه چسبشم خوب نیست,1
جنس خوبی داشت اما برام نصفه فرستادن,0
کالا شامل دو تیکه برچسب بود که هر دو تکراری بود و کامل نبود محصول,0
نوشته هاش بی کیفیت و بعضی از حروف اصلا معلوم نیستن,1
مشکلی نداره بامزه ست، اما تصویر وسط دیدنداره. ازلحاظ چسب هم قویه,0
اصلان ارزش خرید ندارع و داخل دوتا کاغذ پرینت شده نا مرغوب چاپ شده و کم رنگه. من همین مدل استیکر و باب اسفنجی خریدن کاملا قابله قبوله و با قیمت ۵ هزار تومان,0
کیفیت چاپ پایین بود ,3
زیاد مثل عکسش شفاف نیست ولی جنسش محکمه,3
خیلی خوب نبود من انتظار بیشتری داشتم ولی میشه گفت درکل بد نبود,0
قیمتش معقول بود میخریدم,2
هنوز استفاده نکردم ولی همه چیزش خوب است. ممنون.,0
کیفیت چاپش خوب نیست و کمرنگه,3
خوب بود,1
از نظر چسبدگی اصلا کیفیت نداره. من زیرشو کاملا تمیز کردم ولی توی کمتر از 1 ساعت لبهاش بلند شد و اصلا نمیچسبه,1.5
اصلا خوب نبود,0
برای کسایی که عاشق شورولت هستن خیلی خوبه. فقط حتما به سایز محصول دقت کنید که انتظار خیلی بزرگ بودن ازش نداشته باشید,0
خیلی خوشگل و قشنگ بود سایزشم بزرگ و با کیفیت,0
کیفیت چاپ افتضاح,1
کیفیت میتونست بهتر باشه,3
سلام برا پشت ایفون خاستم ولی بزرگ بود,3
به زور از کاغذش جدا میشه برای اینکه بچسبونیش کیفیتشم عالی نیست,2
استیکر دوربری نداشت و دارای کیفیت بسیار پایینی بود.,1
عالی,3
نسبت به عکس کوچیکتره,3
من گرفتمش ولی تاش کرده بودن گذاشته بودنش داخله جعبه و اون تا زدن باعث ترک خوردنش شده بود من مرجوعش کردم ,2
پیشنهاد میکنم خوشگل است,3
بدک نیست ولی رنگا میتونست زنده تر و با کیفیت تر باشه,3
توصیه میکنم بخریذ,3
کیفیت نسبتا خوبه ولی قیمت بالاست ب نظرم,3
دستم رسید زیاد آدم سخت گیری نیستم واسه لپ‌تاپم مناسب بود,3
عالی بود حتما بخرید,2.91
به نظرم خوبه,0
بعد ۳بار سفارش دادن و هر بار حذف شدنش  از ثبت خریدم سر اخر اینو فرستادن یه یرچسب زشت بی ربط,1
خوب بود,3
افتضاحبی کیفیت کوچیک بدون بسته بندی مطابق عکس نیست,1
من این استیکر رو از گروه طراحی گراسیپا سفارش دادم ، فقط یک برگ کاغذ برچسبی بی کیفیت حدود 10 در 10 سانت که ارزش 500 تومان هم ندارد,1
استیکر خودش خوب بود اما تو بسته بندی جالبی از طرف فروشنده نبود!,0
خوب بود,3
قشنگ بود.........,3
چسبندگیش خوبه ولی کیفیت چاپش کمه,3
همه چیز تمام,0
کیفیتش عالیخ,0
زیاد از اندازه و جنسش خوشم نیومد ولی عکسش قشنگ بود,0
نخرید دورش مینازین حیفه رو لب تاب بزنی,1
خیلی خوبه .,0
معمولی,3
"من این استیکر رو از دوتا فروشنده مختلف گرفتم 
سام و نرگس و پویا مارکت
 هیچکدومشون خوب نبود 
پویا مارکت که کلا یه استیکر دیگه فرستاده بود",1
خیلی برچسب با کیفیتی نیست,3
به زیبایی و کیفیت عکسی که می‌بینید نیست,2
فقط شکله کیفه وگرنه گونی جنسش از این بهتره,1
توصیه نمی کنم هنگامی که در لپ تاپ قرار میدی و روشن  میکنی بصورت ممتد بوق میزنه احتمالا بخاطر غیر استاندارد بودنشه,1
جنس اشغال ,1
نسبت به قیمت کیفیت مرغوب داشت,3
جنس ضعیفی داره ولی کار راه بندازه,3
کیفیت مناسبی نداشت,1
خوبه,3
با توجه به قیمت عالی ,3
من برای لپ تاپ قدیمی که برام مهم نبود زیاد گرفتم اینو اگر جنس با کیفیت می‌خواید رو این گزینه حساب نکنید,3
فقط موقع جا خوردن به سری اداپتور لب تاب کمی اذیت کرد ولی عالی بود ,0
نسبت به قیمتش خوبه واینکه الان مدتیه که من ازش استفاده زیاد میکنم مشکلی نداشته,0
بعد از یه مدت از محل اتصال دوشاخه روکش سیم پاره شد.,3
در کل خوبه. فقط باید مراقب اتصال محل 3 پین به شارژر باشین که موقع ورود و خروج نشکنه. قیمتش مناسبه.,3
برای من کالای دیگری ارسال شد !!!,3
کارم رو راه انداخته و با کیفیته,3
عالی بود و تشکر از دیجی کالا,1
کیفیت نداره ولی با توجه به قیمتش نمی دونم می ارزه یا نه,3
راضی نیستم سیم خشک,3
سیمش خوبه جنسشم اکیه. درکل راضیم,3
دیر فهمیدم خرابه وگرنه مرجوع میکردم,1
داره کار میکنه فعلا، بقیه زیاد دووم نیاوردن این بدک نیست به نظر,3
کیفیت خوب,0
نسبت به طول و کیفیت ساخت قیمت مناسبی دارد,0
کیفیت میتونست بهتر باشه,3
سلام برا پشت ایفون خاستم ولی بزرگ بود,3
به زور از کاغذش جدا میشه برای اینکه بچسبونیش کیفیتشم عالی نیست,2
یکم چسبش قوی نیست اما کیفیت خوبی داره,1
razi budam,3
به نظرم خیلی بامزه س و جنسشم خوبه بخرین,3
قسمت سفید اضافی دورش خیلی میزد تو ذوق...,3
بعد چند روز چسبش ور اومد فک کنم فاسد بود !,2
عالیه و ضد ابه,0
خوبه,3
خیلی عالیه بخصوص برای لپ تاپ,3
"یک ماه نمیشه ازش استفاده میکنم تا حالا هم از لپتاپم جداش نکردم ولی متاسفانه شروع به بلند شدن از اطراف کرده
از طرفی هم لبه هاش دستی بریده شده و با توجه به این که طرحش گرده یکم تو ذوق میزنه",1.5
برش نخورده و جنسش اصلا مناسب نیست برای چسبوندن روی لپتاپ و گارد گوشی چون نه د آبه نه ضد خش الکی قیمت بالا زدن ,1
"ماشالا به فروشنده مستر استیکر 
ک انقدر ما رو احمق فرض میکنه 
من فکر میکردم ک کارش خوبه 
اکثر استیکرامو از اون گرفتم 
منتهی ن تنها سایزی ک درج کردن نیست بلکه کیفیت به شدت افتضاحه 
و مهم تر از اون ی چیز دیگه برای من فرستادن 
واقعا خنده داره 
توصیه میکنم به هیچ وجه استکراتونو از فروشنده هایی ک نمیشناسید خرید نزنید 
و اصلا از مستر استیکر خرید نزنید 
فوق افتضاحه 
خودتون میتونید تو عکسی ک فرستادم مقایسه کنید 
چیزی ک انتظارشو داریم 
و چیزی ک برامون میفرستن 
من خرید میلیونی از دیجیکالا میکنم
واقعا تا الان یک بارم مشکل برام مثل این ب وجود نیومده بود 
تا اینکه اینو در کنار خریدام زدم 
پیشنهاد ب دیجیکالا میکنم ک خواهشا ی ناطر بالا سر فروشنده هایی ک میزارید باشید وگرنه دیگه هیچکس ی خریدم ک نمیکنه ازتون هیچ,  مشتریاییم ک دارید میپره",1
بد نیست,3
مگه نباید طبق عکس حاشیه نداشته باشه؟ برش هاش اصلا دقیق نیست حاشیه سفید خیلی ضایعی داره,2
محکم زیبا,3
"آشغال فرستادن
ترو خدا نخرید
مرجوع می‌کنم
کل اندازش، اندازه انگشت اشارس",1
از این فروشنده (تهران استیکر) نخرید!,0
افتضاح,1
فکر میکردم جنس بهتری داشته باشه,2
کیفیتش خوب نبود زیاد,3
خیلی خوبه پیشنهاد میکنم استفاده کنین,3
"سایزش کوچیکتر از اون چیزی بود که فکر میکردم
ولی کیفیتش مناسب و قابل قبوله",3
عالی حرف نداره,3
کیفیت چسب و سلامت کالا خوب بود,3
خیلی چاپ باکیفیتی نداره ولی طرحش قشنگه.,3
چیزای بهتری میشه خرید از جاهای دیگه صافه من با همین قیمت از ی پیج استیکر خریدم برجسته اصلا عالی ولی این مالی نیس,3
خیلییی ضعیف,3
استیکره بدی نیست ولی با توجه به قیمتش می تونست جنسه بهتری داشته باشه,3
خیلی عالیه بخصوص برای لپ تاپ,3
"یک ماه نمیشه ازش استفاده میکنم تا حالا هم از لپتاپم جداش نکردم ولی متاسفانه شروع به بلند شدن از اطراف کرده
از طرفی هم لبه هاش دستی بریده شده و با توجه به این که طرحش گرده یکم تو ذوق میزنه",1.5
خوبه,3
خیلی بد نبود بد هم نبود,2
خوب بود ,3
به درد بخوره,3
بد نیست خوبه,3
خوبه شیکه جالبه,3
برای لپ تاپ با حاشیه کم مناسب نیست,2
بدک‌ نبود من راضی بودم,3
خوب اما گران,3
کیفیت عالی ,0
بسیار زیباست و چسب قوی دارد,0
پیشنهاد می‌کنم,3
"روز اولی که از بندش اسفاده کردم جوش فلزی باز شد
وقتی هم از دسته بالایی استفاده میکنم چسب جلوش باز میشه",2
من برای لپ تاپ ۱۵.۶ اینچ ایسوس خریدم توش نمی رفت.  تعجب می کنم که نوشته تا ۱۷ اینچ!!,3
قسمت ضربه گیرش خیلی محکم و خوبه ولی جنس رویه ضعیف تره، دسته اش هم اصلا خوب نیست,3
اصلا خوب نیست وقتی سنگین میشه چسب جلوش باز میمونه و خیلی بد شکل میشه ,2
کیفیت خیلی خوبی داره وازش راضی ام همه جوره چون هم جاهای زیادی داره وهم مناسب لپ تاپ هست چون عایق ضربه داره مچکرم ,0
عالی عالی حتما بخرید,3
کابل اشتباه ارسال شده بود من برای لپ تاپ میخواستم برای کامیوتر ارسال شده است .. ولی چون باز کردم دیگه مرجوع نکردم,3
بد نیست ,3
بدک‌ نبود من راضی بودم,3
خوب اما گران,3
کیفیت عالی ,0
بسیار زیباست و چسب قوی دارد,0
به اندازش حتما دقت کنید,2
نصف برچسب ها از کادر برچسب در نیامد مجبورشدم با قیچی برش بدمبرچسب ها از دکمه ها خیلی کوچکتر بودنمیکمونزا روی کیبورد اصلا باز نشدن از کاغذشون خرید فوق مزخرفی بود ,1
اصلا توصیه نمیکنم  کیفیت چاپ پایین اندازه با تصاویر مطابقت نداشت ,2
خوب بود ,3
به درد بخوره,3
بد نیست خوبه,3
خوبه شیکه جالبه,3
برای لپ تاپ با حاشیه کم مناسب نیست,2
علیرغم جنس خوب، دوخت آن نامنظم و بسیار بد بود,2
من از جای دیگه سفارش دادم مدل v1 همینه بدون rgb نصف این قیمت,2
کیفیت خوب,3
برای داشبورد ماشین خریدم، زود کنده شد.,1
بسیار عالی ، چسب خوب ، کیفیت چاپ یکی از بهترین هایی که تا به حال دیدم ارسال به موقع فروشنده هم راضی کننده بود.کلا خواسته هاتون رو از یه استیکر لپ تاپ کاملا برآورده می کنه,0
کیفیت چاپ خوبی داره,3
خوب و مقرون به صرفه,3
خیلی کیفیت چاپ خوبی نداشت,3
استیکر خوشگلیه فقط یه خورده زیادی بزرگه,3
انگار فاسد بود  به مرحله چسبوندن نرسید,1.5
کلا یه چیز دیگه فرستادن. واقعا جای تاسف داره که تا این حد به مشتری بی توجهی میشه. ارزش مرجوع کردن هم نداره.,1
تعدادش کمه,3
بستگی به سلیقه هر کسی داره,3
چسبش محکمه,0
یه استیکر خیلی قشنگ و خاطره انگیزه برای علاقه مندان به تن تن و میلو ..,3
برای کسایی که تین تین بازن و دیوونه میلو، خوبه,3
خیلی بامزه ان طراحی خوبی داره,3
"برای تمام طرفدارای تین تین مناسبه
چاپش و بسته بندیش از بقیه ی استیکرهایی که گرفتم بهتر بود ولی خب اونا در حد ۲ تومن و ۴ تومن ارزون بودن و این که می گن هر ارزونی ای بی دلیل نیست واقعا درسته!",3
چاپ تیره و کدر بود ، خیلی خوب میشد اگه کمی براق تر و پررنگ تر بود.عکسی که ازش گذاشتند خیلی خوبه ولی در واقعیت به این قشنگی نیست,1
خریدم دو شنبه میرسه رسید خبر میدم ولی با توجه به آفی که خوره به نظرم مناسبه,3
واقعا ۵۰ تومن ارزش نداره اما کیفیت استیکر خوب نیاز به دور بری نداره,3
خوب بود,3
خوب بود در کل ,3
خوب,3
خوب بود. با تشکر از دیجی کالا,3
کیفیت چاپش خیلییی خوبه ولی یکم چسبش ضعیفه,0
برادرم خرید برای تبلت و راضی هست,3
تعدادش کمه,3
بستگی به سلیقه هر کسی داره,3
چسبش محکمه,0
من از جای دیگه سفارش دادم مدل v1 همینه بدون rgb نصف این قیمت,2
خوب بود,3
خوب بود در کل ,3
خوب,3
خریدم دو شنبه میرسه رسید خبر میدم ولی با توجه به آفی که خوره به نظرم مناسبه,3
واقعا ۵۰ تومن ارزش نداره اما کیفیت استیکر خوب نیاز به دور بری نداره,3
یک بار سگگ فلزی بندش شکست و کیف با لپتاپ افتاد توی جوب.  یه بند دیگه انداختم و این دفعه از سر کیف که سگگ بهش اویزون میشه پاره شد و کیف افتاد و لپتاپم اسیب دید. عکس هردو میزارم. متاسفم برای این فروشنده . ممنون میشم اگه نظرمو رد نکنید,1
خوب نیست,1
شبیه عکس نیست. دوخت ضعیف.,3
من چند مدل ورنگها مختلف از اینچی سفارش دادم,3
خوب بود,3
ضعیف,3
به قیمتش میرزه,3
تو عکس کیف عمودی به نظر میاد ولی کیف افقی ارسال شده!!!,1
معمولی .......,3
کالای مغایر با عکس و دارای حالت افقی و نه دسته‌ی عمودی برای من ارسال شد؛ واقعاً متأسفم!,1
مدل افقی و پسرانه رو فرستادن درصورتی که من مدل دخترانه که از ارتفاع دسته بهش میخوره و عمودی هست رو سفارش دادم، متاسفم، دقت رو ببرید بالا لطفا,2
مناسب لپ تاپ نیست برای کیف دانشگاه مناسبه,3
"این پیام جهت آگاهی برای دوستان خریدار هست.
این کیف از لحاظ متریال و دوخت مناسب هست و کیفیت مطلوبی داره اما سایز بسیار بزرگی داره یعنی به تنهایی یه لپ تاپ ۱۵ تا ۱۶ اینج به راحتی داخلش جا میشه.
کیف دقیقا مشابه کیف های اداری هست و تفاوتی با کیف مناسب لپ تاپ نداره و اطراف فضایی که برای لپ تاپ هست اصلا محافظ یا ضربه گیر مناسب نداره. در کل اگر دنبال جمع و جور بودن و رسمی بودن هستید انتخاب نکنید اما اگر وسایل زیاد دارید و دنبال جنس خوب هستید این کیف رو انتخاب کنید مناسب برای دانشجو هایی که لپ تاپ دارن.",3
خیلی بزرگه، مثل چمدونه,2
حضوری نمیخریدمش حتی در آف,2
"عرض ادب
این کوله رو بنا به توضیحاتش برای لپ تاپ ۱۷ اینچ گرفتم
اما متاسفانه لپتاپ به سختی داخلش جا میگیره و گوشه هاش تحت فشاره!
دیجی کالا لطفا توضیحاتش رو ویرایش کنید!
فکر میکنم برای لپتاپهای ۱۶ اینچ خوب باشه",3
من به قیمت ۲۹۹ هزار تومان خریدم توی پیشنهاد ویژه یه لب تاب با ماوس و متعلقات مجموعا ۲ کیلو توش گذاشتم به ۱ ماه نرسید ابتدا بند دستگیره سپس دستگیره بالایی و در انتها بند سمت راست کوله که بیشتر روی دوش قرار میگیره پاره شدند واقعا فانتزی و دارای اتصالات بی کیفیت هست عکسش هم گذاشتم به نظر من اصلا ارزش خرید نداره و مجبور شدم دوباره یه مارک مک رو بخرم ببینم اون چقدر کار می کنه اون جای همدزفریشم الکیه فقط یه سوراخه که بتونید سیم رد کنید,2
امروز دستم رسید طبق بازه زمانی که تعین کرده بودم، زیباست ، دوخت زیبایی داره، منتها جنسش خیلی ضعیفه ، اینقدر ضعیف که هنوز استفاده نشده جای دوخت سوزن ، نخ کش شده، پشت زیپ وسط پاره شده و اگه فشاری بهش بیاد ، راحت اندازه چندسانت ازهم بازمیشه،(درخواست مرجوعی دادم)جای لپ تاپش، هم ازپشت و هم از کف کوله ، ضربه گیر ضعیفی داره و برا لپ تاپ ۱۵ اینج مناسب تره ، بنظرم حداکثر ۲۰۰ تومن می ارزه، چون قبل خریدش ، کوله های دیگه ای رو تو بازار قیمت و برانداز کرده بودم،باتوجه به جنس و قیمت اونها ، این کوله ۳۰۰ تومن گرونه,3
معمولی ,3
معمولیه,3
کوچک بود,3
یک بار سگگ فلزی بندش شکست و کیف با لپتاپ افتاد توی جوب.  یه بند دیگه انداختم و این دفعه از سر کیف که سگگ بهش اویزون میشه پاره شد و کیف افتاد و لپتاپم اسیب دید. عکس هردو میزارم. متاسفم برای این فروشنده . ممنون میشم اگه نظرمو رد نکنید,1
خوب نیست,1
شبیه عکس نیست. دوخت ضعیف.,3
من چند مدل ورنگها مختلف از اینچی سفارش دادم,3
خوبه,3
خوبه کاربردیه اما چسبش ضعیفه یکم,3
قیمتش بالا بود نسبت به کیفیتش ولی خوبه,3
قابل قبول,3
متاسفانه ضخامتش برای الترابوک‌ها مناسب نیست و باعث میشه لپ‌تاپ کامل بسته نشه.,2
یک بار سگگ فلزی بندش شکست و کیف با لپتاپ افتاد توی جوب.  یه بند دیگه انداختم و این دفعه از سر کیف که سگگ بهش اویزون میشه پاره شد و کیف افتاد و لپتاپم اسیب دید. عکس هردو میزارم. متاسفم برای این فروشنده . ممنون میشم اگه نظرمو رد نکنید,1
خوب نیست,1
شبیه عکس نیست. دوخت ضعیف.,3
